,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
86,85,115,südostbahn,forchbahn,endbahnhof,zentralbahn,rutschbahn,eisenbahn,eisenbahnwagen,familienwagen,stadtbahn,wilerbahn
87,86,114,verbindungen,schnellere,verbindung,bessere,direkte,schlechte,schnellfahren,verbessern,stündliche,häufigere
88,87,113,kaffee,gipfeli,wägeli,vermisse,kaffeemaschine,kaffeewägeli,kaffeeservice,kaffeewagen,trinken,fehlt
89,88,107,bahn,bahnen,deutschen,rhb,app,deutsche,geehrtes,mobile,team,bahnersatz
90,89,106,bahn,busverbindung,busse,bahnersatzbus,the,09,kante,there,trains,verpasst
91,90,103,bistro,bistrowagen,speisewagen,vermisst,bedient,kaffee,geschlossen,caffe,bistrowägeli,gerne
92,91,103,umsteigen,glarnerland,aussteigen,s2,gleis,verspätung,anschluss,anschlüsse,anschlusszug,umsteigezeit
93,92,102,getränke,getränk,getränken,snacks,getränkeservice,wägeli,speisewagen,snack,getränkewägeli,kaffee
94,93,102,momentan,einwände,tv,keinesfalls,ahnung,teurer,fragen,angebot,problem,zug
95,94,99,handy,steckdosen,laden,handys,handyverbot,aufladen,gespräche,verbieten,akku,steckdose
96,95,96,tram,the,nr,trams,sonceboz,app,tramlinien,took,to,früheres
97,96,96,familienwagen,familien,familienabteil,kinder,kinderwagen,kindern,familie,wickeltisch,spielplatz,kind
98,97,95,tip,top,tiptop,tipptopp,tipp,topp,niveau,hinterlassen,pünktliche,bravo
99,98,91,verfügung,stellen,sitzplätze,veloplätze,sparbillette,stehen,bon,plätze,stehende,einlösen
100,99,89,flug,umsteigen,ic,direkte,europort,29h,direkt,verbindung,direkter,umgekehrt
101,100,89,kalt,jacke,heiss,kühl,schal,stark,kälter,draussen,sommer,kühlen
102,101,88,takt,47,00,hochmoor,verbindung,währe,ic4,s9,23,umsteigezeiten
103,102,87,zugbegleiter,zugbegleitung,zugbegleiterin,freundlich,präsenz,zugbegleitungspersonal,fremdsprachen,zugbegleiters,zugbegleitern,zugbegleiterinnen
104,103,86,winter,verbindung,snownrail,wintersaison,wartesaal,winti,schnellere,lockdown,voralpen,warten
105,104,85,ok,nei,okay,none,good,zau,gsi,tüür,xxxx,xxxxxx
106,105,85,postauto,postautos,zugreise,postautofahrt,postautoverbindungen,postautofahrer,postautoverbindung,skiträger,überfüllt,mitteilen
107,106,84,direkte,löwenberg,muntelier,ursanne,umsteigen,colmar,direkten,verbindungen,11,spur
108,107,84,fahrplan,einhalten,fahrten,fahrplanzeiten,eingehalten,fahrplans,angenehme,fahrt,dicht,realistischer
109,108,83,strecke,tessin,nagold,zug,anschluss,art,verpasst,cola,warten,geteilt
110,109,80,passagiere,passagieren,passwort,passarelle,passagierzahlen,passieren,stehen,ansage,kreieren,passiert
111,110,80,ski,skis,gepäck,snowboards,skier,stauraum,skiausrüstung,rucksäcke,velos,koffer
112,111,79,transport,transportieren,velo,velos,transportpolizei,there,transportmöglichkeiten,and,transportmittel,bringen
113,112,76,musik,kopfhörer,hören,laut,musikhören,laute,videos,filme,lautes,schuhe
114,113,76,lüftung,luft,stickig,luftqualität,lüften,abgestandene,kalt,luftzug,kalte,lüftungssystem
115,114,74,velotransport,velotransportmöglichkeiten,velotransportplätze,velotransportmöglichkeit,velotransporte,velo,bickes,biks,angebot,reservierung
116,115,70,retourbillet,retourbillett,retour,gültig,retourbillette,retourfahrt,gelöst,lösen,retourticket,folgetag
117,116,69,toiletten,toilette,bahnhöfen,bahnen,defekt,öffentliche,vermeide,gewährleisten,wc,toilettensituation
118,117,67,parkplätze,rail,and,ride,parking,parkgebühr,parken,mobility,parkingpay,parkuhr
119,118,66,ausfall,ausfallen,ausgefallen,ausfällen,ausfälle,ausfällt,züge,zug,italien,nehmen
120,119,66,weitermachen,festtage,frohe,super,prima,arbeit,service,,,
121,120,65,bilette,bilett,bilettkauf,bilet,online,bilete,bilettautomat,überteuert,app,teuer
122,121,64,service,sub,ausgezeichneten,zufrieden,wertvoll,bedanken,speisewagen,andren,arbeitsmaterial,shit
123,122,64,ic1,total,direkt,anzeige,neigezüge,direkte,00h,umgekehrt,erweitern,sitzen
124,123,62,gl1,bls,00,benutzt,06,uhrzeit,kürzeren,20,ic1,strecke
125,124,62,s3,s9,s6,s7,s24,s11,s8,s21,s99,s28
126,125,59,covid,19,virus,coronavirus,covid19,ansteckung,corona,abstand,maskenpflicht,situation
127,126,58,zugpersonal,unfreundlich,freundliches,freundlich,schuhen,hilfsbereit,zugbegleitpersonal,zugpersonals,fahrgäste,vorbei
128,127,58,übrig,wünschen,lässt,sauberkeit,manchmal,pünktlichkeit,läst,punkto,gestank,liess
129,128,58,minibar,minibars,bar,mini,minimieren,kaffee,speisewagen,einführen,vermisse,alleine
130,129,56,sitzplätze,sorgen,sitzplätzsn,mitfahrt,befindliche,netzstecker,stricktere,verweigern,sitzplatzmöglichkeiten,üblen
131,130,56,anpassen,preise,preis,leistung,attraktiver,bedarf,postautoverbindung,bedürfnissen,anpassung,entgegen
132,131,56,zugbegleitern,25,person,bestimmungen,stunde,parkieren,fährt,höflich,arbeit,optimal
133,132,56,spät,spätere,stunde,absperrung,zugverbindungen,zugverbindung,arbeit,halbe,gekommen,zugsverbindungen
134,133,51,gutschein,gutscheine,einlösen,restbetrag,gutscheinen,halbtax,bekommen,klassenwechsel,unbeschränktes,aufbrauchen
